MWE,Category,POS 1,POS 2
motion_sickness,c,noun,
motive_power,c,noun,
mount_fuji,pn,noun,
mountain_bike,c,noun,
mountain_range,c,noun,
movie_star,c,noun,
muscular_dystrophy,c,noun,
music_school,c,noun,
music_stand,c,noun,
musical_box,c,noun,
musical_chairs,c,noun,
mute_swan,c,noun,
national_holiday,c,noun,
national_park,c,noun,
natural_gas,c,noun,
natural_language,c,noun,
natural_scientist,c,noun,
natural_selection,c,noun,
nature_morte,ffi,noun,
navy_blue,c,noun,
nepal_bhasa,pn,noun,
nerve_agent,c,noun,
nerve_gas,c,noun,
nervous_breakdown,c,noun,
new_brunswick,pn,noun,
new_guinea,pn,noun,
new_ireland,pn,noun,
new_jersey,pn,noun,
new_mexico,pn,noun,
new_moon,c,noun,
new_testament,pn,noun,
new_year_'s_day,ffi,noun,
new_year_'s_eve,ffi,noun,
new_zealander,pn,noun,
next_door,c,noun,
nicotinic_acid,c,noun,
night_owl,c,noun,
no_longer,ffi,adv,
noble_metal,c,noun,
noise_pollution,c,noun,
nom_de_plume,ffi,noun,
nominative_case,c,noun,
norfolk_island,pn,noun,
north_africa,pn,noun,
north_america,pn,noun,
north_atlantic,pn,noun,
north_atlantic_ocean,pn,noun,
north_carolina,pn,noun,
north_korean,pn,adj,
north_sea,pn,noun,
north_star,c,noun,
northern_lights,c,noun,
northern_mariana_islands,pn,noun,
northern_marianas,pn,noun,
not_well,s,adj,
notice_board,c,noun,
nuclear_bomb,c,noun,
nuclear_energy,c,noun,
nuclear_power,c,noun,
nuclear_reaction,c,noun,
nuclear_winter,c,noun,
nursery_school,c,noun,
nursing_home,c,noun,
occipital_lobe,c,noun,
oedipus_complex,c,noun,
ohm_'s_law,pn,noun,
oil_palm,c,noun,
oil_rig,c,noun,
oklahoma_city,pn,noun,
old_-_fashioned,c,noun,
old_age,c,noun,
old_english,c,noun,
old_frisian,c,noun,
old_hand,ffi,adj,
old_irish,pn,noun,
old_maid,c,noun,
old_man,c,noun,
old_prussian,pn,noun,adj
old_slavic,pn,noun,
old_stone_age,pn,noun,
olive_tree,c,noun,
olympic_games,c,noun,
on_purpose,ffi,prep,
on_the_other_hand,ffi,prep,
on_the_whole,ffi,adv,
one_-_night_stand,c,noun,
one_-_way_street,c,noun,
one_by_one,ffi,adv,
one_of_a_kind,s,adj,
one_-time,c,adj,
opera_house,c,noun,
operating_room,c,noun,
opt_out,ffi,verb,
oral_sex,c,noun,
organized_crime,c,noun,
osmotic_pressure,c,noun,
other_side,s,noun,
otitis_media,c,noun,
ottoman_empire,pn,noun,
our_father,pn,noun,
out_of_the_blue,ffi,adv,
over_-the_-_counter,ffi,adj,
overhand_knot,c,noun,
ozone_layer,c,noun,
pacific_ocean,pn,noun,
palm_oil,c,noun,
palm_tree,c,noun,
panama_canal,pn,noun,
panama_city,pn,noun,
pancreatic_cancer,c,noun,
panic_attack,c,noun,
panthera_tigris,c,noun,
parallel_bars,c,noun,
parking_spot,c,noun,
parkinson_'s_disease,c,noun,
parochial_school,c,noun,
part_-_time,c,noun,
part_with,ffi,verb,
particle_accelerator,c,noun,
particle_physics,c,noun,
paso_doble,ffi,noun,
pass_away,ffi,verb,
pass_out,ffi,verb,
passenger_car,c,noun,
passenger_ship,c,noun,
passion_fruit,c,noun,
past_participle,c,noun,
past_perfect,ffi,adj,
pastry_shop,c,noun,
paternity_test,c,noun,
peace_pipe,c,noun,
pear_tree,c,noun,
peel_off,ffi,verb,
pellet_gun,c,noun,
pen_name,c,noun,
pen_pal,c,noun,
pension_fund,c,noun,
people_'s_liberation_army,pn,noun,
per_capita,ffi,adv,
per_diem,ffi,adv,
per_se,ffi,noun,
periodic_table,c,noun,
peripheral_nervous_system,c,noun,
perpetual_motion_machine,c,noun,
persian_gulf,pn,noun,
personal_property,c,noun,
pet_shop,c,noun,
petri_dish,c,noun,
petrol_station,c,noun,
phantom_limb,c,noun,
phnom_penh,pn,noun,
phone_booth,c,noun,
phosphoric_acid,c,noun,
physical_education,c,noun,
piano_accordion,c,noun,
pick_up,ffi,verb,
pickup_truck,c,noun,
piece_of_furniture,s,noun,
pilot_whale,c,noun,
pineal_gland,c,noun,
pipe_bomb,c,noun,
pit_stop,c,noun,
plastic_art,c,noun,
playing_field,c,noun,
pleural_cavity,c,noun,
plug_in,ffi,verb,
plus_sign,c,noun,
point_-_blank,ffi,noun,
point_out,ffi,noun,
polar_bear,c,noun,
pole_vault,c,noun,
police_station,c,noun,
political_party,c,noun,
poop_deck,c,noun,
pop_group,c,noun,
pop_music,c,noun,
port_louis,pn,noun,
port_wine,c,noun,
portmanteau_word,c,noun,
pound_sterling,pn,noun,
powder_keg,c,noun,
power_of_attorney,s,noun,
power_plant,c,noun,
prayer_beads,c,noun,
prayer_book,c,noun,
present_tense,c,noun,
press_agency,c,noun,
press_release,c,noun,
pressure_cooker,c,noun,
price_list,c,noun,
prima_donna,ffi,noun,
prime_factor,c,noun,
prime_meridian,c,noun,
prime_number,c,noun,
principality_of_liechtenstein,s,noun,
prisoner_of_war,ffi,noun,
private_detective,c,noun,
private_eye,c,noun,
private_investigator,c,noun,
private_school,c,noun,
programming_language,c,noun,
proper_noun,c,noun,
property_tax,c,noun,
province_of_manitoba,pn,noun,
public_domain,c,noun,
public_image,c,noun,
public_law,c,noun,
public_servant,c,noun,
puerto_rico,pn,noun,
pull_-_down,ffi,noun,
pull_-_up,c,noun,
purchase_order,c,noun,
put_away,ffi,verb,
put_inside,ffi,verb,
put_up,ffi,verb,
put_up_with,ffi,verb,
pyrrhic_victory,c,noun,
quadratic_equation,c,noun,
quantity_of_money,s,noun,
quantum_mechanics,c,noun,
queen_consort,c,noun,
queen_regnant,ffi,noun,
quid_pro_quo,ffi,noun,
quintana_roo,pn,noun,
rabbit_hole,c,noun,
radial_engine,c,noun,
radiation_sickness,c,noun,
radio_wave,c,noun,
railroad_car,c,noun,
railroad_station,c,noun,
railroad_tie,c,noun,
random_access_memory,c,noun,
ray_of_light,s,noun,
reading_room,c,noun,
real_estate_tax,c,noun,
real_life,c,noun,
real_number,c,noun,
rear_admiral,c,noun,
